iter	Passed	Remaining
0	143	143638
1	144	72293
2	146	48536
3	147	36605
4	148	29635
5	150	24851
6	151	21428
7	152	18859
8	153	16864
9	154	15271
10	155	13974
11	156	12884
12	157	11962
13	158	11188
14	159	10497
15	160	9901
16	161	9363
17	162	8889
18	164	8468
19	165	8089
20	166	7752
21	167	7445
22	168	7158
23	169	6899
24	170	6659
25	171	6436
26	172	6230
27	174	6043
28	175	5862
29	176	5694
30	177	5534
31	178	5385
32	179	5250
33	180	5119
34	181	5001
35	182	4888
36	183	4780
37	184	4681
38	185	4581
39	187	4488
40	188	4399
41	189	4312
42	190	4230
43	191	4151
44	192	4075
45	192	4001
46	193	3930
47	194	3864
48	195	3801
49	196	3741
50	197	3680
51	198	3622
52	199	3566
53	200	3513
54	201	3463
55	202	3417
56	203	3370
57	204	3325
58	205	3282
59	206	3237
60	207	3197
61	208	3157
62	209	3120
63	211	3086
64	212	3051
65	213	3019
66	214	2984
67	215	2953
68	216	2922
69	217	2891
70	218	2860
71	219	2831
72	220	2802
73	221	2774
74	222	2746
75	223	2718
76	224	2691
77	225	2666
78	226	2642
79	227	2619
80	228	2595
81	229	2572
82	230	2544
83	231	2523
84	232	2501
85	233	2479
86	234	2458
87	235	2438
88	236	2417
89	237	2397
90	237	2377
91	238	2357
92	239	2339
93	241	2323
94	242	2306
95	243	2290
96	244	2273
97	245	2256
98	246	2238
99	246	2221
100	247	2204
101	248	2188
102	249	2174
103	250	2158
104	251	2143
105	252	2128
106	253	2115
107	254	2103
108	255	2091
109	257	2079
110	258	2066
111	259	2053
112	260	2042
113	261	2029
114	262	2017
115	263	2006
116	264	1994
117	265	1983
118	266	1971
119	267	1960
120	268	1950
121	269	1938
122	270	1929
123	271	1919
124	272	1908
125	273	1898
126	274	1886
127	275	1877
128	276	1868
129	277	1859
130	279	1850
131	280	1841
132	281	1832
133	282	1823
134	283	1815
135	284	1805
136	285	1796
137	286	1790
138	287	1781
139	288	1773
140	289	1764
141	290	1754
142	291	1746
143	292	1738
144	293	1730
145	294	1722
146	295	1714
147	297	1710
148	298	1703
149	299	1696
150	300	1690
151	301	1684
152	303	1677
153	304	1670
154	305	1666
155	306	1660
156	308	1654
157	309	1647
158	310	1641
159	311	1635
160	312	1627
161	313	1622
162	314	1617
163	316	1611
164	317	1606
165	318	1601
166	319	1595
167	321	1590
168	322	1586
169	324	1582
170	325	1577
171	326	1571
172	327	1566
173	328	1561
174	330	1557
175	331	1552
176	332	1547
177	333	1542
178	335	1536
179	336	1530
180	337	1525
181	338	1519
182	339	1513
183	340	1507
184	340	1501
185	341	1495
186	342	1489
187	343	1483
188	344	1477
189	345	1471
190	346	1466
191	347	1460
192	348	1455
193	348	1449
194	350	1444
195	350	1439
196	351	1434
197	352	1428
198	353	1423
199	354	1417
200	355	1411
201	356	1406
202	356	1401
203	357	1396
204	358	1390
205	359	1385
206	360	1380
207	361	1376
208	362	1371
209	363	1366
210	364	1361
211	365	1356
212	366	1352
213	367	1348
214	368	1343
215	368	1339
216	369	1334
217	370	1330
218	371	1325
219	372	1321
220	373	1316
221	374	1312
222	375	1308
223	376	1305
224	377	1300
225	378	1297
226	379	1293
227	380	1289
228	381	1284
229	382	1280
230	383	1276
231	384	1272
232	385	1268
233	386	1263
234	386	1259
235	387	1255
236	388	1251
237	389	1247
238	390	1243
239	391	1239
240	392	1236
241	393	1232
242	394	1228
243	395	1224
244	396	1220
245	396	1216
246	397	1212
247	398	1208
248	399	1205
249	400	1201
250	401	1197
251	402	1193
252	402	1189
253	403	1185
254	404	1182
255	405	1178
256	406	1175
257	407	1171
258	408	1168
259	409	1165
260	410	1161
261	410	1157
262	411	1154
263	412	1150
264	413	1147
265	414	1143
266	415	1140
267	416	1136
268	416	1133
269	417	1129
270	418	1126
271	419	1122
272	420	1119
273	421	1116
274	422	1113
275	423	1110
276	424	1108
277	425	1104
278	426	1101
279	426	1097
280	427	1094
281	428	1091
282	429	1088
283	430	1084
284	431	1081
285	432	1078
286	432	1075
287	433	1071
288	434	1068
289	435	1065
290	436	1063
291	437	1059
292	438	1057
293	439	1054
294	439	1051
295	440	1048
296	441	1045
297	442	1042
298	443	1039
299	444	1036
300	444	1033
301	445	1030
302	446	1027
303	447	1024
304	448	1021
305	449	1018
306	450	1015
307	451	1013
308	451	1010
309	452	1007
310	453	1005
311	454	1002
312	455	999
313	456	996
314	457	993
315	457	990
316	458	988
317	459	985
318	460	983
319	461	980
320	462	977
321	463	975
322	463	972
323	464	970
324	466	968
325	467	965
326	468	963
327	469	961
328	470	958
329	470	956
330	471	953
331	472	950
332	473	948
333	474	946
334	475	943
335	476	940
336	476	938
337	477	935
338	478	933
339	479	930
340	480	928
341	481	926
342	482	924
343	483	921
344	484	919
345	485	917
346	486	914
347	486	912
348	487	910
349	488	907
350	489	905
351	490	902
352	491	900
353	492	897
354	492	895
355	493	893
356	494	890
357	495	888
358	496	886
359	497	884
360	498	882
361	499	880
362	500	877
363	501	875
364	502	873
365	503	871
366	503	869
367	504	866
368	505	864
369	506	862
370	507	860
371	508	858
372	509	856
373	510	854
374	511	852
375	512	850
376	513	848
377	514	846
378	515	844
379	516	842
380	516	839
381	517	837
382	518	835
383	519	833
384	520	831
385	521	828
386	521	826
387	522	824
388	523	822
389	524	820
390	525	818
391	526	816
392	527	814
393	528	812
394	529	810
395	530	808
396	531	806
397	532	804
398	532	802
399	533	800
400	534	798
401	535	796
402	536	794
403	537	792
404	538	790
405	539	788
406	539	786
407	540	784
408	541	782
409	542	781
410	543	779
411	544	777
412	545	775
413	546	773
414	547	771
415	548	769
416	549	767
417	549	765
418	550	763
419	551	761
